Dep;ABS;BN;JOLY;LE PEN;SARKOZY;MELENCHON;POUTOU;ARTHAUD;CHEMINADE;BAYROU;DUPONT-AIGNAN;HOLLANDE
1;16.76;1.97;2.26;20.71;30.41;9.61;1.03;0.56;0.27;10.16;2.24;22.75
2;19.39;1.71;1.16;26.33;24.2;10.19;1.3;0.84;0.25;6.68;1.96;27.1
3;17.66;2.4;1.57;18.32;24.02;13.58;1.25;0.72;0.22;8.65;1.98;29.68
4;16.97;2.05;2.91;20.71;25.47;15.15;1.38;0.48;0.28;7.42;1.83;24.36
5;17.07;2.08;3.63;17.7;26.11;14.03;1.33;0.56;0.24;9.86;2.05;24.49
6;20.58;1.53;2.15;23.5;37.19;8.49;0.69;0.27;0.21;6.69;1.59;19.21
7;15.85;1.99;2.8;20.04;23.76;14.07;1.37;0.63;0.26;9.15;1.94;25.98
8;20.61;1.59;1.22;24.5;24.43;9.28;1.29;0.77;0.24;7.52;1.81;28.93
9;15.9;1.86;2.85;16.79;18.72;16.86;1.45;0.55;0.23;6.67;1.51;34.36
10;18.64;2.09;1.41;25.12;30.33;7.93;1.01;0.61;0.25;8.37;2.17;22.79
11;16.51;1.95;2.09;23.22;21.63;13.15;1.26;0.52;0.21;6.04;1.47;30.41
12;14.7;2.44;2.34;14.1;25.51;12.26;1.33;0.53;0.24;12.55;1.7;29.44
13;19.58;1.58;2.11;23.38;27.5;13.43;0.8;0.35;0.22;6.35;1.35;24.51
14;16.82;1.62;2.13;16.22;27.34;10.56;1.34;0.66;0.25;10.1;2.05;29.34
15;16.84;2.18;1.56;15.12;28.61;8.98;1.24;0.6;0.24;11.16;1.66;30.84
16;17.89;2.18;1.83;17.72;23.06;11.32;1.47;0.7;0.25;8.81;2.04;32.79
17;18.11;2;2.21;17.45;28.1;10.38;1.42;0.57;0.23;9.08;2.09;28.47
18;19.62;2.16;1.58;19.73;24.96;13.81;1.22;0.76;0.24;8.84;2.11;26.76
19;14.64;2.05;1.38;13.31;21.59;10.55;1.01;0.42;0.18;6.93;1.65;42.97
20;25.73;1.78;2.29;24.39;31.41;9.85;1.17;0.31;0.21;5.01;1.07;24.28
21;16.99;1.85;2.1;18.84;28.57;9.51;1.06;0.56;0.24;9.37;1.95;27.79
22;14.29;1.8;2.78;13.58;23.86;12.2;1.33;0.67;0.24;10.6;1.71;33.02
23;17.77;2.39;1.76;16.27;22.23;13.01;1.49;0.72;0.25;8.33;1.93;34.02
24;15.16;2.2;2.13;17.01;22.93;13.71;1.37;0.57;0.24;8.07;1.87;32.09
25;17.2;2.02;2.35;19.19;28.49;10.96;1.18;0.65;0.26;8.8;1.84;26.28
26;16.87;1.79;2.87;20.96;26.12;12.1;1.11;0.71;0.26;8.88;1.94;25.05
27;18.49;1.79;1.66;22.75;27.78;10.34;1.37;0.65;0.27;8.41;2.11;24.65
28;19;1.82;1.6;20.72;29.39;8.96;1.22;0.67;0.26;9.22;2.24;25.71
29;15.84;1.67;2.95;11.98;24.46;11.52;1.48;0.6;0.27;11.27;1.78;33.7
30;17.15;1.68;2.12;25.51;24.86;13.33;1.01;0.47;0.23;6.91;1.46;24.11
31;16.53;1.67;3.04;15.31;22.84;13.38;1.11;0.41;0.25;9.32;1.53;32.83
32;14.19;2.21;2.25;15.9;24.14;12.06;1.23;0.54;0.25;9.95;1.82;31.86
33;17.34;1.69;2.43;15.61;24.84;11.74;1.66;0.45;0.23;9.68;1.6;31.75
34;17.84;1.71;2.52;22.28;25.31;13.27;1.03;0.4;0.23;6.86;1.4;26.69
35;15.35;1.87;3.17;12.39;26.02;10.35;1.22;0.67;0.24;12.35;1.83;31.77
36;18.03;2.45;1.45;19.55;24.16;11.26;1.43;0.86;0.28;8.98;2.17;29.87
37;17.28;1.84;2.23;15.98;28.24;10.93;1.28;0.68;0.27;10.27;2.01;28.1
38;17.4;1.77;3.03;18.97;24.96;12.4;1.03;0.52;0.26;9.1;1.9;27.84
39;16.42;2.06;2.4;20.41;25.83;12.55;1.32;0.7;0.28;9.62;2.29;24.6
40;16.2;1.95;1.83;14.1;24.56;12.51;1.48;0.48;0.21;10.43;1.64;32.75
41;17.19;1.97;1.73;20.88;28.35;9.85;1.31;0.7;0.26;9.76;2.14;25.01
42;17.51;1.91;1.96;21.55;25.07;11.18;1.08;0.61;0.23;9.75;2.11;26.46
43;15.46;2.54;2.1;20.4;24.42;11.17;1.33;0.74;0.22;11.17;2.08;26.36
44;15.76;1.8;3.15;12.18;26.07;11.65;1.25;0.58;0.23;11.3;1.84;31.76
45;18.11;1.84;1.89;20.58;29.31;9.53;1.01;0.56;0.25;9.31;2.11;25.45
46;13.86;2.04;2.67;13.48;21.43;14.38;1.45;0.55;0.26;9.33;1.94;34.51
47;16.73;2.04;1.92;21.41;25.32;11.69;1.37;0.5;0.23;8.85;1.79;26.91
48;14.79;2.01;2.61;17.3;27.77;12.41;1.29;0.53;0.24;11.01;1.69;25.15
49;15.62;2.33;2.36;13.88;29.93;9.35;1.39;0.75;0.26;12.77;2.21;27.1
50;16.94;1.91;1.83;16.64;28.82;9.85;1.35;0.72;0.29;11.2;2.27;27.04
51;20.95;1.65;1.51;22.44;29.87;8.52;1.19;0.66;0.24;9.5;2.03;24.05
52;19.68;2;1.38;25.26;27.99;8.89;1.33;0.79;0.24;7.97;2.41;23.75
53;15.59;2.51;2.12;14.77;30.69;8.3;1.31;0.78;0.23;13.78;2.14;25.87
54;20.05;1.58;1.81;21.17;24.21;12.07;1.28;0.66;0.28;8.69;1.91;27.92
55;18.27;1.81;1.6;25.82;26.56;8.85;1.5;0.7;0.31;9.23;2.04;23.4
56;15.49;1.82;2.81;15.55;28.15;10.24;1.37;0.61;0.27;10.85;1.85;28.29
57;21.85;1.83;1.73;24.73;25.93;9.52;1.39;0.76;0.27;9.29;1.86;24.53
58;19.24;1.95;1.64;19.58;22.51;11.95;1.28;0.72;0.26;7.46;1.96;32.64
59;22.12;1.77;1.75;21.91;24.7;12.62;1.1;0.7;0.23;7.48;1.54;27.97
60;19.07;1.85;1.51;25.08;26.59;10.11;1.22;0.78;0.25;7.61;1.95;24.9
61;16.65;1.91;1.79;20;29.64;8.92;1.45;0.74;0.24;10.55;2.4;24.26
62;20.13;1.9;1.21;25.53;21.86;11.54;1.29;0.85;0.21;6.4;1.66;29.44
63;15.93;2.18;2.04;15.58;21.42;13.99;1.24;0.64;0.27;9.95;1.77;33.09
64;17.75;2.11;2.88;12.15;23.62;11.88;1.73;0.46;0.22;15.67;1.46;29.93
65;16.77;2.01;2.08;14.91;20.39;15.16;1.36;0.54;0.21;10.55;1.64;33.16
66;18.2;1.9;2.11;24.23;25.31;12.77;1.24;0.49;0.22;6.29;1.38;25.96
67;20.17;1.88;2.76;21.21;33.62;7.22;1.02;0.64;0.28;11.94;1.73;19.58
68;20.6;2.03;2.71;23.43;31.91;7.42;1.19;0.64;0.33;11.39;2.1;18.89
69;18.42;1.59;2.9;15.09;30.77;10.74;0.84;0.48;0.26;10.3;1.72;26.91
70;16.84;2.45;1.58;25.12;25.23;9.64;1.36;0.77;0.28;7.61;2.03;26.38
71;18.92;2.28;1.67;20.03;26.01;10.64;1.22;0.63;0.25;8.83;2.03;28.69
72;17.83;2.46;1.89;19.17;26.43;10.78;1.34;0.75;0.23;9.14;2.15;28.13
73;16.91;2.07;3.42;18.92;28.61;11.47;1.19;0.5;0.27;9.89;2.11;23.64
74;18.89;1.79;3.59;16.56;34.06;9.23;1.12;0.45;0.31;11.83;2.32;20.52
75;19.85;1.2;4.18;6.2;32.19;11.09;0.67;0.27;0.23;9.34;1;34.83
76;19.09;1.9;1.63;18.9;25.02;13.2;1.28;0.71;0.24;7.83;1.79;29.4
77;22.09;1.75;1.96;19.65;27.27;11.01;1.02;0.46;0.26;8.55;2.18;27.65
78;21.18;1.52;2.5;12.44;34.24;9.11;0.8;0.35;0.28;11.24;1.73;27.32
79;16.1;2.38;2.02;13.57;25.01;10.24;1.6;0.73;0.26;11;2.23;33.34
80;18.15;1.79;1.22;23.77;23.9;11;1.28;0.89;0.22;7.31;2.02;28.37
81;14.73;2.21;2.14;18.93;23.28;12.17;1.25;0.51;0.23;9.18;1.63;30.69
82;15;2.12;1.97;22.1;25.14;11.19;1.21;0.48;0.25;8.28;1.76;27.63
83;19.42;1.55;1.89;24.83;34.83;9.08;0.87;0.35;0.21;6.66;1.63;19.65
84;17.94;1.74;2.26;27.03;27.45;11.15;0.95;0.39;0.21;6.73;1.5;22.33
85;14.67;2.33;1.88;15.18;32.89;8.46;1.45;0.63;0.24;12.13;2.33;24.81
86;17.31;2.15;2.17;16.41;24.5;11;1.35;0.71;0.23;9.59;2.05;31.99
87;15.49;2.66;1.8;16.44;19.83;14.36;1.21;0.66;0.24;7.89;1.67;35.9
88;17.99;2.21;1.76;24.18;25.32;9.68;1.56;0.75;0.29;9.4;2.38;24.68
89;19.26;1.79;1.76;23.68;27.62;10.05;1.27;0.68;0.25;8.47;2.22;24
90;19.37;2.07;2.02;23.74;23.88;11.41;1.32;0.7;0.29;8.85;1.79;26.01
91;20.82;1.69;2.35;15.2;25.46;12.26;0.94;0.41;0.24;9.33;3.41;30.39
92;20.58;1.57;2.74;8.51;34.97;10.35;0.69;0.3;0.26;10.69;1.34;30.16
93;26.54;1.86;2.21;13.55;19.48;16.99;0.92;0.51;0.24;6.12;1.31;38.68
94;22.5;1.6;2.63;11.86;26.57;14;0.84;0.38;0.26;8.86;1.66;32.93
95;23.03;1.8;2.05;15.6;26.25;11.95;0.96;0.44;0.25;8.39;1.7;32.41
